交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-04-01 11:28:35.597112,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793597808063680512,4200000075201804019526420808,WX000000072808,odbfdwe2zzRaHI4sv9kCHfPDpWb8,weixin.NATIVE,交易,CFT,CNY,10000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,10000,,,,,
2018-04-01 10:23:04.539410,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793531856290713600,4200000075201804019641913273,WX000000072741,odbfdwRCltNzQHwf5CiYqKF-UMkw,weixin.NATIVE,交易,ABC_DEBIT,CNY,2000,0,,,,,,厦门市第二医院门诊充值,无,0,0,2000,,,,,
2018-04-01 13:22:03.677785,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793712031141335040,4200000075201804019833752493,WX000000072858,odbfdwaOUK2klo24CO60fNkrp_vs,weixin.MICROPAY,交易,CFT,CNY,9050,0,,,,,,厦门市第二医院门诊充值,无,0,0,9050,,,,,
2018-04-01 14:02:48.433579,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793753047374893056,4200000075201804019833859166,WX000000072883,odbfdwW9SkpvPtLLrI-MC0r5uk0A,weixin.MICROPAY,交易,CMB_CREDIT,CNY,90000,0,,,,,,厦门市第二医院住院充值,无,0,0,90000,,,,,
2018-04-01 13:41:49.085276,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793731918970621952,4200000075201804019842259927,WX000000072867,odbfdwf02j9cp8bn0ojzKB3qoPxo,weixin.MICROPAY,交易,CCB_DEBIT,CNY,51050,0,,,,,,厦门市第二医院门诊充值,无,0,0,51050,,,,,
2018-04-01 14:31:33.002794,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793781978492702720,4200000075201804019893512369,WX000000072898,odbfdwVlNOMkyjLck5JkIPVmHXiI,weixin.NATIVE,交易,CFT,CNY,20000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,20000,,,,,
2018-04-01 19:40:48.148750,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810794093284516564992,4200000076201804010102032097,WX000000073091,odbfdwQ9PiL9akIwlEz6_Fto53IY,weixin.MICROPAY,交易,CFT,CNY,12000,0,,,,,,厦门市第二医院门诊充值,无,0,0,12000,,,,,
2018-04-01 20:46:41.738460,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810794159614767271936,4200000076201804010194747576,WX000000073104,odbfdwQ9PiL9akIwlEz6_Fto53IY,weixin.MICROPAY,交易,CFT,CNY,16651,0,,,,,,厦门市第二医院门诊充值,无,0,0,16651,,,,,
2018-04-01 08:39:25.524814,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793427520579047424,4200000076201804019594902755,WX000000072583,odbfdwSm7sxx3IwcL8xwItS3cz2A,weixin.MICROPAY,交易,PSBC_DEBIT,CNY,30000,0,,,,,,厦门市第二医院门诊充值,无,0,0,30000,,,,,
2018-04-01 06:41:48.738567,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793309127356059648,4200000076201804019612478221,WX000000072401,odbfdwXVSKeagCFGRv9rULdOmag0,weixin.MICROPAY,交易,CCB_DEBIT,CNY,31050,0,,,,,,厦门市第二医院门诊充值,无,0,0,31050,,,,,
